"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",31,"SCSP",0.0330904614656111,0.243099575035514
"ULWOM",31,"SCHL",0.189120965111116,0.186337532620347
"ULWOM",32,"DNKA",0.310416101732093,0.154846144486888
"ULWOM",32,"ESXC",0.442942527431208,0.189957004751871
"ULWOM",32,"FDSC",0.726428397142406,0.144187031720205
"ULWOM",32,"GOVG",0.106304033615241,0.160340596236656
"ULWOM",32,"VLNC",0.616093708802841,0.148593123771763
"ULWOM",32,"SCSP",0.0353784952902184,0.24318384148827
"ULWOM",32,"SCHL",0.188562849201291,0.18630979217579
"ULWOM",33,"DNKA",0.308965621309335,0.154909880262211
"ULWOM",33,"ESXC",0.434870988810222,0.189464289386459
"ULWOM",33,"FDSC",0.715655984346452,0.144337909166341
"ULWOM",33,"GOVG",0.109353732208247,0.160359147701063
"ULWOM",33,"VLNC",0.619252924930014,0.148470713729226
"ULWOM",33,"SCSP",0.043233346560146,0.243002541654483
"ULWOM",33,"SCHL",0.181302160254284,0.186475043787596
"ULWOM",34,"DNKA",0.309754128487955,0.155048997345202
"ULWOM",34,"ESXC",0.449580990631788,0.189938296669211
"ULWOM",34,"FDSC",0.721661108628505,0.144355789374332
"ULWOM",34,"GOVG",0.0946627368122708,0.160634700994274
"ULWOM",34,"VLNC",0.624757406528575,0.149013920322676
"ULWOM",34,"SCSP",0.0531624742918138,0.243574018768879
"ULWOM",34,"SCHL",0.181912669013047,0.186366576525241
"ULWOM",35,"DNKA",0.300482244104475,0.154851134919835
"ULWOM",35,"ESXC",0.436120647044664,0.190385653559328
"ULWOM",35,"FDSC",0.724183427393554,0.144384044119175
"ULWOM",35,"GOVG",0.102072051484679,0.160460232247501
"ULWOM",35,"VLNC",0.62045066736282,0.148638466201956
"ULWOM",35,"SCSP",0.0425091429115653,0.243506658756752
"ULWOM",35,"SCHL",0.183304932070004,0.186582464033318
"ULWOM",36,"DNKA",0.306651185783517,0.155220347600618
"ULWOM",36,"ESXC",0.438637733837585,0.190181725966632
"ULWOM",36,"FDSC",0.721935673312364,0.144307642779248
"ULWOM",36,"GOVG",0.102993961863138,0.160531592674252
"ULWOM",36,"VLNC",0.622935319780537,0.148718862513718
"ULWOM",36,"SCSP",0.0198928778637166,0.243699514825219
"ULWOM",36,"SCHL",0.185821475839145,0.186502767948382
"ULWOM",37,"DNKA",0.304882052227488,0.155007366751189
"ULWOM",37,"ESXC",0.433714181535531,0.189836511025145
"ULWOM",37,"FDSC",0.718999768040702,0.144253026812446
"ULWOM",37,"GOVG",0.106243859013676,0.16039806925784
"ULWOM",37,"VLNC",0.617630021196488,0.148513978979577
"ULWOM",37,"SCSP",0.0454636958706476,0.243098991662056
"ULWOM",37,"SCHL",0.182813118193593,0.186201607613777
"ULWOM",38,"DNKA",0.308522543721147,0.154735278687446
"ULWOM",38,"ESXC",0.435510476151626,0.190281933914248
"ULWOM",38,"FDSC",0.718894592747724,0.144120994617194
"ULWOM",38,"GOVG",0.101799860574444,0.16065687381599
"ULWOM",38,"VLNC",0.618143307235317,0.148519613492909
"ULWOM",38,"SCSP",0.0273919480806988,0.243346580749459
"ULWOM",38,"SCHL",0.196726294825233,0.186274424868739
"ULWOM",39,"DNKA",0.306769678629648,0.154774827625158
"ULWOM",39,"ESXC",0.4508096768779,0.190138631082211
"ULWOM",39,"FDSC",0.725468677271884,0.144263822956048
"ULWOM",39,"GOVG",0.110663001678556,0.160309354464601
"ULWOM",39,"VLNC",0.620631096171151,0.148541798040435
"ULWOM",39,"SCSP",0.0502567799813024,0.24317386633542
"ULWOM",39,"SCHL",0.197746446563392,0.186426551411957
